deg,rad,sin
0,0.0,0.0
15,0.2617993877991494,0.25881904510252074
30,0.5235987755982988,0.49999999999999994
45,0.7853981633974483,0.7071067811865475
60,1.0471975511965976,0.8660254037844386
75,1.3089969389957472,0.9659258262890683
90,1.5707963267948966,1.0
105,1.8325957145940461,0.9659258262890683
120,2.0943951023931953,0.8660254037844387
135,2.356194490192345,0.7071067811865476
150,2.6179938779914944,0.49999999999999994
165,2.8797932657906435,0.258819045102521
180,3.141592653589793,1.2246467991473532e-16
195,3.4033920413889422,-0.25881904510252035
210,3.6651914291880923,-0.5000000000000001
225,3.9269908169872414,-0.7071067811865475
240,4.1887902047863905,-0.8660254037844384
255,4.4505895925855405,-0.9659258262890683
270,4.71238898038469,-1.0
285,4.97418836818384,-0.9659258262890682
300,5.235987755982989,-0.8660254037844386
315,5.497787143782138,-0.7071067811865477
330,5.759586531581287,-0.5000000000000004
345,6.021385919380437,-0.2588190451025207
360,6.283185307179586,-2.4492935982947064e-16
